ID,Species,C14:0,C15:0,C16:0,C16:1n-7,C17:0,C17:1n,C18:0,C18:1n-9,C18:1n-7,C18:2n-6,C18:3n-6,C18:3n-3,C18:4n-3,C20:0,C20:1n-9,C20:2n,C20:3n-6,C20:3n-3,C20:4n-6,C20:4n-3,C20:5n-3,C24:0,C22:6n-3
Hm4a,krasuub,6.21,1.55,33.88,2.73,2.64,0.42,15.23,9.47,1.95,1.54,0.36,0.62,0.12,0.83,1.3,0.27,0.21,0.18,1.78,0.08,1.14,0.44,1.96
Hm5a,krasuub,6.34,1.23,30.41,4.98,1.68,0.86,10.61,18.05,2.74,1.99,0.23,0.82,0.13,0.44,2.12,0.19,0.23,0.12,0.58,0.12,0.44,0.17,0.66
Hm1n,krasuub,5.46,1.59,35.54,2.59,3.16,0.48,15.71,10.46,2.14,1.79,0.46,0.71,0.11,0.83,1.13,0.18,0.25,0.11,0.74,0.14,1.14,0.45,1.06
Hm2n,krasuub,3.77,1.16,33.9,2.31,2.65,0.6,14.31,12.38,2.02,1.74,0.44,0.66,0.12,0.73,1.16,0.18,0.31,0.1,1.82,0.2,1.43,0.5,3.4
Hm3n,krasuub,5.39,1.41,34.41,3.04,2.54,0.66,13.95,12.11,2.27,1.47,0.36,0.62,0.09,0.49,1.71,0.14,0.26,0.16,0.82,0.11,0.59,0.26,1.3
Hm4n,krasuub,2.7,0.92,34.74,1.25,2.33,0.33,16.51,8.35,1.45,1.2,0.35,0.33,0.06,0.47,0.77,0.16,0.32,0.15,3.77,0.16,1.48,1.18,8.76
Hm5n,krasuub,4.9,1.05,28.8,3.73,2.34,0.61,13.36,11.7,2.55,3.65,0.24,1.85,0.33,0.72,0.57,0.26,0.55,0.2,2.14,0.49,1.64,0.51,3.54
Hn1a,kodlueng,2.62,0.58,28.1,5.01,1.1,0.67,9.06,18.96,3.24,4.28,0.13,2.33,0.19,0.26,0.75,0.36,0.97,0.25,2.5,0.72,1.19,0.11,4.13
Hn2a,kodlueng,2.63,0.94,25.58,4.46,1.03,0.82,7.24,24.4,2.4,5.84,0.15,2.72,0.3,0.21,1.05,0.4,0.85,0.35,1.88,0.95,1.09,0.08,4.33
Hn3a,kodlueng,2.91,0.87,27.64,4.18,1.14,0.67,7.64,25.21,2.96,7,0.22,1.9,0.15,0.33,0.87,0.45,0.8,0.27,1.32,0.56,0.87,0.12,2
Hn4a,kodlueng,3.51,0.87,23,4.94,1.39,0.79,7.24,20.11,3.85,6.24,0.5,2.07,0.48,0.36,0.79,0.48,1,0.26,2.22,0.86,1.68,0.18,3.63
Hn5a,kodlueng,4.02,1,30.54,4.59,1.02,0.75,8.91,27.14,2.22,4.21,0.1,1.81,0.14,0.23,1.12,0.22,0.46,0.22,0.93,0.62,0.59,0,1.31
Hn6n,kodlueng,0.78,0.37,24.21,1.84,0.08,0.39,11.07,9.45,4,2.85,0.05,1.09,0,0.18,0.45,0.52,1.06,0.28,6.57,0.38,1.74,0.32,18.54
Hn7n,kodlueng,1.34,0.47,22.99,1.64,0.76,0.4,13.41,13.3,2.8,2.08,0.05,1.54,0.06,0.16,0.46,0.34,0.9,0.16,6.47,0.27,1.6,0.32,14.14
Hn8n,kodlueng,3.79,0.55,29.35,2.64,0.96,0.52,12.05,16.83,2.84,1.69,0.24,0.35,0.06,0.22,0.65,0.25,0.54,0.11,4.27,0.29,1.92,0.45,6.41
Hn9n,kodlueng,2.58,0.62,24.4,2.51,1.05,0.52,10.76,12.21,4.1,3.79,0.11,1.5,0.11,0.26,0.65,0.49,1.21,0.35,5.01,0.65,2,0.35,11.45
Hn10n,kodlueng,2.74,0.64,21.84,2.76,1.26,0.51,10.08,19.91,3.67,5.09,0.15,1.29,0.12,0.42,1.73,0.68,1.2,0.36,2.8,0.58,1.27,0.27,5.85
Pp1a,kramang,2.62,1,20.96,3.93,2.11,0.59,7.46,15.32,4.22,13.51,0.48,3.14,0.67,0.6,0.77,0.67,0.87,0.24,2.56,0.46,2.34,0.14,1.93
Pp2a,kramang,3.13,0.71,25.2,4.09,1.64,0.65,8.99,19.42,2.95,6.63,0.38,4.6,0.63,0.65,0.45,0.36,0.74,0.23,2.13,0.67,3.06,0.04,2.33
Pp3a,kramang,4.04,0.98,23.84,4.77,2.35,0.82,8.99,12.31,3.4,7.2,0.56,4.81,1.02,0.55,1.64,0.52,0.7,0.27,2.72,0.62,3.64,0.11,2.1
Pp4a,kramang,2.89,1.24,22.38,4.66,2.12,0.83,9.43,16.92,4.01,7.4,0.3,3.47,0.51,0.68,0.89,0.5,0.68,0.23,2.53,0.47,2.35,0.22,2.14
Pp5a,kramang,3.82,1.42,22.61,6.2,2.34,1.1,7.98,11.48,4.62,8.88,0.58,4.89,0.99,0.49,1.62,0.48,0.68,0.27,2.43,0.62,3.11,0.21,1.28
Pp1n,kramang,2.71,1.11,22.31,3.72,2.66,0.72,8.79,16.33,3.39,9.01,0.37,3.39,0.7,0.61,1.99,0.58,0.83,0.27,2.57,0.49,2.79,0.15,1.87
Pp2n,kramang,2.63,1.69,21.08,5.19,2.22,0.75,6.71,12.83,4.29,11.69,0.33,3.4,0.6,0.56,0.73,0.6,0.8,0.27,2.69,0.54,2.86,0.16,2.48
Pp3n,kramang,3.28,0.86,23.82,4.47,2.04,0.7,7.74,15.25,4.27,7.45,0.42,4.32,0.79,0.52,0.59,0.65,0.88,0.25,2.03,0.57,2.2,0.09,1.5
Pp4n,kramang,1.84,0.76,25.81,3.9,1.4,0.55,9.6,23.25,3.14,8.91,0.14,1.91,0.11,0.58,0.51,0.4,0.62,0.32,1.95,0.21,1.33,0.1,1.34
Pp5n,kramang,3.55,0.97,23.03,4.57,2.25,0.88,8.6,14.01,3.39,9.07,0.45,4.51,1.03,0.58,0.55,0.42,0.78,0.22,2.32,0.65,2.47,0.13,2.71
Hw1a,tap,1.9,1.23,20.82,2.45,1.26,0.6,4.85,13.76,2.56,23.84,0.16,9.37,0.27,0.43,0.87,0.78,0.79,0.84,0.99,0.59,0.94,0.29,1.06
Hw2a,tap,2.31,0.3,27.79,1.17,0.48,0.22,10.1,36.16,0.93,9.73,0.11,3.08,0.07,0.23,1.16,0.3,0.38,0.25,0.36,0.2,0.27,0,0.46
Hw3a,tap,2.39,0.77,27.65,1.64,0.92,0.5,6.85,23.57,1.41,10.45,0.09,7.37,0.23,0.3,1.11,0.37,0.44,0.51,0.57,0.58,0.75,0.12,0.86
Hw4a,tap,2.29,1.99,23.06,3.35,1.52,0.99,5.23,14.93,2,17.11,0.29,9.33,0.61,0.42,0.57,0.44,0.8,0.46,1.2,1,1.4,0.08,1.18
Hw5a,tap,1.95,0.49,25.16,1.18,0.74,0.34,8.08,26.31,1.56,9.49,0.07,12.62,0.16,0.23,0.8,0.32,0.32,0.72,0.32,0.46,0.62,0.1,0.57
Hw6a,tap,1.78,0.46,23.4,1.88,0.7,0.35,5.15,27.2,1.66,22.04,0.32,4.68,0.09,0.46,0.77,0.61,0.83,0.3,0.84,0.26,0.82,0.1,0.59
Hw1n,tap,1.7,0.71,24.71,1.48,1.05,0.5,5.63,18.84,1.09,12.3,0,19.35,0.16,0.29,0.76,0.44,0.48,1.1,0.37,0.58,0.71,0.13,0.85
Hw2n,tap,2.09,0.86,23.28,2.37,1,0.48,7.23,27.24,1.71,14.37,0.22,5.96,0.33,0.5,1.88,0.46,0.56,0.33,0.68,0.51,0.94,0.07,0.63
Hw3n,tap,2.23,1.03,23.98,2.52,1.32,0.58,7.18,19.96,1.52,16.63,0.22,8.23,0.37,0.39,1.1,0.51,0.6,0.43,0.92,0.55,1.11,0.08,0.76
Hw4n,tap,2.99,1.05,22.34,2.91,1.95,0.58,9.03,13.7,1.34,13.19,0.29,8.34,0.36,0.53,0.88,0.6,0.81,0.51,1.97,0.73,1.63,0.1,1.26
Hw5n,tap,2.45,0.5,24.75,1.31,0.78,0.39,5.17,16.02,0.5,12,0,24.2,0.2,0.2,0.44,0.46,0.53,1.81,0.32,0.89,0.71,0.06,1.17
Lr1a,yiisok,3.51,2.09,23.9,6.66,1.7,1.31,4.28,13.42,2.5,5.08,0.65,5.98,1.3,0.39,1.09,0.32,0.68,0.36,2.14,0.81,2.04,0.05,2.12
On1a,nin,6.69,1.13,33.4,6.11,2.36,1.02,6.9,20.88,3.56,1.33,0.19,0.81,0.11,0.3,1.76,0.17,0.14,0.27,0.15,0.11,0.16,0,0.21
On2a,nin,5.41,0.82,26.52,6.43,1.92,0.93,5.35,19.9,4.04,5.33,0.14,4.37,0.72,0.2,0.95,0.38,0.75,0.93,0.6,0.89,0.45,0.73,1.35
On3a,nin,7.52,1.97,30.89,6.81,2.46,1.05,5.93,19.2,5.54,1.3,0.2,0.68,0.08,0.25,1.52,0.22,0.16,0.26,0.07,0.11,0.07,0.07,0
On4a,nin,5.28,0.89,26.65,6.01,2.02,0.97,6.42,25.08,3.78,3.38,0.54,1.72,0.28,0.24,1.28,0.21,0.5,0.44,0.33,0.37,0.26,1.16,0.55
On5a,nin,5.9,1.04,28.1,6.7,2.25,1.22,5.41,21.3,3.63,3.86,0.66,2.37,0.41,0.23,1.11,0.26,0.56,0.53,0.37,0.51,0.48,0.38,0.6
On1n,nin,6.28,5.41,31.84,7.15,2.15,1.64,4.69,13.37,2.57,1.61,0.18,2.07,0.46,0.28,1.09,0.1,0.6,1.34,0.9,0.55,0.3,0.08,0.35
On2n,nin,8.37,4.21,36.09,6.08,2.49,1.1,5.79,10.54,2.27,1.34,0.07,1.6,0.22,0.38,1,0.15,0.36,0.37,1.17,0.26,0.4,0.15,0.75
On3n,nin,7.53,1.21,27.93,8.28,1.82,0.99,5.11,15.3,3.3,3.39,0.47,3.25,0.63,0.41,1.36,0.24,0.7,0.71,1.13,0.78,0.81,0.15,1.13
On4n,nin,9.29,4.78,29.96,7.7,2.47,1.35,4.57,8.75,3.02,1.94,0.16,1.83,0.35,0.52,0.96,0.24,0.59,0.76,1.29,0.51,0.53,0.21,0.43
On5n,nin,4.22,0.45,23.43,4.22,1.69,0.86,9.95,18.53,2.51,5.28,0.65,2.64,0.38,0.53,0.62,0.25,1.12,0.47,2.73,0.72,1.41,0.25,5.42
Ov1n,soi,2.57,1.69,26.21,4.49,2.29,0.99,6.87,16.76,2.89,5.08,0.33,2.07,0.36,0.36,0.29,0.38,0.72,0.2,1.76,0.43,1.17,0.16,2.75
Ov2n,soi,2.65,1.58,26.41,3.94,2.54,1.03,9.34,18.53,2.1,3.48,0.38,2.96,0.79,0.29,0.43,0.7,0.77,0.37,1.76,0.81,1.92,0.06,1.85
Ov3n,soi,2.33,1.41,27.74,3.72,2.2,1.23,8.43,19.72,2.09,3.11,0.4,1.74,0.56,0.25,0.26,0.29,0.58,0.23,2.63,0.38,1.73,0.08,4.71
Ov4n,soi,3.37,1.51,28.25,3.92,2.53,0.92,10.54,13.16,2.28,5.63,0.43,4.02,0.76,0.33,0.36,0.43,0.63,0.33,1.69,0.66,1.99,0.09,2.06
Ov5n,soi,2.85,1.16,32.88,2.49,2.44,0.61,14.98,13.66,1.81,2.66,0.22,1.74,0.47,0.32,0.45,0.46,0.48,0.35,2.06,0.49,1.64,0.07,2.25
